区站号,省份,站名,站类,经度,纬度,观测场拔海高度（米）,气压传感器拔海高度（米）
54713 ,河北,东光,一般站,11632,3753 ,14.4 ,15.6 
54714 ,山东,德州,一般站,11620,3727 ,23.6 ,25.1 
54715 ,山东,陵城,基本站,11631,3719 ,17.6 ,18.7 
54716 ,山东,宁津,一般站,11648,3740 ,16.3 ,17.8 
54717 ,河北,吴桥,一般站,11624,3738 ,17.1 ,18.3 
54719 ,河北,南皮,一般站,11641,3802 ,11.1 ,12.3 
54722 ,山东,无棣,一般站,11738,3745 ,6.8 ,7.8 
54723 ,山东,阳信,一般站,11734,3739 ,10.1 ,11.2 
54724 ,山东,商河,一般站,11708,3719 ,14.8 ,15.9 
54725 ,山东,惠民,基准站,11732,3730 ,11.7 ,12.7 
54726 ,山东,乐陵,一般站,11711,3742 ,11.5 ,13.0 
54727 ,山东,章丘,基本站,11733,3641 ,121.8 ,123.0 
54728 ,山东,庆云,一般站,11721,3746 ,10.5 ,11.6 
54729 ,山东,高青,一般站,11752,3710 ,11.5 ,12.5 
54734 ,山东,滨州,一般站,11800,3721 ,12.2 ,13.4 
54736 ,山东,东营,一般站,11840,3726 ,6.0 ,7.2 
54744 ,山东,垦利,基本站,11833,3735 ,8.5 ,9.8 
54749 ,山东,莱州,一般站,11957,3711 ,48.4 ,49.5 
54751 ,山东,长岛,基本站,12044,3756 ,39.7 ,40.9 
54752 ,山东,蓬莱,一般站,12046,3748 ,60.7 ,61.8 
54753 ,山东,龙口,基准站,12020,3738 ,4.8 ,6.0 
54755,山东,招远,一般站,12023,3720,117.8 ,118.7 
54759 ,山东,栖霞,一般站,12051,3719,205.5 ,206.5 
54764 ,山东,福山,基本站,12114,3729 ,53.9 ,55.2 
54765 ,山东,烟台,一般站,12126,3729 ,82.0 ,83.0 
54776 ,山东,成山头,基准站,12242,3724 ,47.7 ,48.7 
54777 ,山东,文登,一般站,12204,3712 ,118.0 ,119.2 
54800 ,河北,威县,一般站,11515,3700 ,33.3 ,34.3 
54801 ,河北,临西,一般站,11529,3651 ,35.3 ,36.3 
54802 ,山东,临清,一般站,11544,3649 ,34.0 ,34.9 
54804 ,河北,大名,一般站,11511 ,3618,45.3 ,46.5 
54806 ,山东,聊城,一般站,11558,3625 ,33.0 ,34.3 
54807,山东,阳谷,一般站,11546,3609,41.2 ,42.5 
54808 ,山东,莘县,基准站,11538,3614 ,37.8 ,39.1 
54809 ,河北,馆陶,一般站,11517 ,3633,41.3 ,42.5 
54812 ,山东,齐河,一般站,11643,3644 ,24.7 ,25.9 
54814 ,山东,茌平,一般站,11615,3632 ,29.7 ,30.9 
54815 ,山东,东阿,一般站,11616,3623 ,31.4 ,32.6 
54816 ,山东,长清,一般站,11648,3631 ,98.9 ,100.1 
54817 ,河南,台前,一般站,11552 ,3559 ,42.1 ,43.1 
54818 ,山东,平阴,一般站,11625,3615 ,79.9 ,81.0 
54819 ,山东,肥城,一般站,11648,3611 ,113.6 ,114.9 
54820 ,河北,邱县,一般站,11512 ,3649,39.0 ,40.0 
54821 ,山东,济阳,一般站,11712,3700 ,20.4 ,21.6 
54822 ,山东,邹平,一般站,11744,3652 ,47.4 ,48.6 
54823 ,山东,济南,基本站,11700,3636 ,170.3 ,171.2 
54824 ,山东,淄川,一般站,11757,3638 ,95.0 ,96.0 
54825 ,山东,博山,一般站,11751,3631 ,189.7 ,190.9 
54826 ,山东,泰山,基准站,11706,3615 ,1533.7 ,1534.6 
54827 ,山东,泰安,一般站,11709,3610 ,128.6 ,129.8 
54828 ,山东,莱芜,一般站,11741,3614 ,229.3 ,230.3 
54829 ,山东,周村,一般站,11752,3646 ,85.7 ,86.7 
54830 ,山东,淄博,一般站,11756,3649 ,34.4 ,35.3 
54831 ,山东,青州,一般站,11830,3639 ,102.5 ,103.9 
54832 ,山东,寿光,一般站,11848,3652 ,23.4 ,24.6 
54833 ,山东,桓台,一般站,11805,3658 ,15.1 ,16.3 
54834 ,山东,临淄,一般站,11817,3652 ,46.3 ,47.3 
54835 ,山东,临朐,一般站,11834,3628 ,149.5 ,150.5 
54836 ,山东,沂源,基本站,11810,3611 ,305.1 ,306.3 
54837 ,山东,昌乐,一般站,11850,3641 ,78.8 ,80.0 
54841 ,山东,昌邑,一般站,11925,3652 ,23.5 ,24.7 
54842 ,山东,平度,基本站,12000,3647 ,62.2 ,63.3 
54843 ,山东,潍坊,基本站,11912,3645 ,22.2 ,22.9 
54844 ,山东,安丘,一般站,11911,3625 ,62.7 ,63.8 
54846 ,山东,高密,一般站,11944,3623 ,51.5 ,52.7 
54848 ,山东,诸城,一般站,11925,3559 ,82.6 ,83.6 
54849 ,山东,胶州,一般站,12002,3613 ,84.4 ,85.3 
54851 ,山东,莱西,一般站,12034,3654 ,76.9 ,77.8 
54852 ,山东,莱阳,一般站,12044,3658 ,54.4 ,55.4 
54853 ,山东,崂山,一般站,12031,3608 ,54.0 ,55.1 
54855 ,山东,即墨,一般站,12023,3624 ,47.8 ,49.0 
54857 ,山东,青岛,基本站,12020,3604 ,76.0 ,77.1 
54861 ,山东,乳山,一般站,12132,3656 ,45.4 ,46.6 
54863 ,山东,海阳,基本站,12111,3647 ,40.9 ,42.0 
54871 ,山东,石岛,一般站,12229,3656 ,9.8 ,11.0 
54900 ,河南,濮阳,一般站,11501 ,3542 ,53.7 ,54.7 
54901 ,河南,南乐,一般站,11510 ,3605 ,47.5 ,48.5 
54902 ,河南,清丰,一般站,11509 ,3557 ,49.3 ,50.3 
54903 ,河南,范县,一般站,11529 ,3551 ,46.0 ,47.0 
54904 ,山东,鄄城,一般站,11531,3535 ,50.1 ,51.5 
54905 ,山东,郓城,一般站,11556,3535 ,46.2 ,47.4 
54906 ,山东,菏泽,一般站,11525,3515 ,49.9 ,51.1 
54907 ,山东,鱼台,一般站,11639,3459 ,34.3 ,35.9 
54908 ,山东,东明,一般站,11506,3516 ,57.3 ,58.2 
54909 ,山东,定陶,基本站,11531,3505 ,51.5 ,52.6 
54910 ,山东,梁山,一般站,11603,3549 ,40.9 ,42.0 
54911 ,山东,东平,一般站,11624,3556,44.0 ,45.0 
54912 ,山东,汶上,一般站,11630,3546 ,41.8 ,42.9 
54913 ,山东,宁阳,一般站,11649,3545 ,62.2 ,63.4 
54914 ,山东,巨野,一般站,11605,3525 ,40.6 ,41.8 
54915 ,山东,济宁,一般站,11636,3526 ,33.3 ,34.5 
54916 ,山东,兖州,基本站,11651,3534 ,51.7 ,52.7 
54917 ,山东,金乡,一般站,11620,3508 ,35.8 ,37.3 
54918 ,山东,曲阜,一般站,11658,3536 ,62.3 ,63.3 
54919 ,山东,邹城,一般站,11659,3523,88.7 ,89.7 
54920 ,山东,泗水,一般站,11717,3539 ,110.4 ,111.6 
54921 ,山东,嘉祥,一般站,11620,3525 ,38.1 ,39.6 
54922 ,山东,新泰,一般站,11745,3552 ,206.0 ,207.2 
54923 ,山东,蒙阴,一般站,11756,3543 ,202.2 ,203.4 
54925 ,山东,平邑,一般站,11741,3530 ,161.2 ,162.4 
54927 ,山东,滕州,一般站,11712,3506 ,74.9 ,75.9 
54929 ,山东,费县,基本站,11758,3516 ,121.2 ,122.2 
54932 ,山东,沂水,一般站,11839,3546 ,186.7 ,187.8 
54935 ,山东,沂南,一般站,11826,3532 ,119.4 ,120.6 
54936 ,山东,莒县,基准站,11850,3534 ,107.4 ,108.4 
54938 ,山东,临沂,一般站,11825,3515 ,124.0 ,125.1 
54939 ,山东,莒南,一般站,11849,3510 ,113.8 ,115.0 
54940 ,山东,五莲,一般站,11912,3545 ,148.2 ,149.0 
54943 ,山东,黄岛,一般站,12000 ,3553,10.4 ,11.9 
54945 ,山东,日照,基本站,11933,3528 ,64.4 ,65.5 
55228 ,西藏,狮泉河,基准站,8005,3230 ,4278.6 ,4279.8 
55248 ,西藏,改则,基准站,8425,3209 ,4414.9 ,4416.1 
55299 ,西藏,那曲,基准站,9204,3129 ,4507.0 ,4508.2 
55437 ,西藏,普兰,基准站,8115,3017 ,3900.0 ,3901.2 
55493 ,西藏,当雄,基本站,9106,3029 ,4200.0 ,4201.2 
55569 ,西藏,拉孜,基本站,8736 ,2905 ,4000.0 ,4001.2 
55572 ,西藏,南木林,一般站,8906,2941 ,4000.0 ,4001.3 
55593 ,西藏,墨竹工卡,一般站,9144,2951 ,3804.0 ,3805.1 
55597 ,西藏,琼结,一般站,9141,2902 ,3740.0 ,3741.2 
55598 ,西藏,泽当,基本站,9146,2916 ,3560.0 ,3561.5 
55655,西藏,聂拉木,基准站,8558,2811,3810.0 ,3811.2 
55664 ,西藏,定日,基本站,8705,2838 ,4300.0 ,4301.2 
55680 ,西藏,江孜,基本站,8936,2855 ,4040.0 ,4041.2 
56004 ,青海,沱沱河,基准站,9226,3413 ,4533.1 ,4533.9 
56016 ,青海,治多,一般站,9537,3351 ,4179.1 ,4179.9 
56018 ,青海,杂多,基准站,9517,3253,4066.4 ,4067.2 
56021 ,青海,曲麻莱,基本站,9548,3407,4175.0 ,4175.8 
56029 ,青海,玉树,基本站,9658,3300,3716.9 ,3717.7 
56033 ,青海,玛多,基准站,9813,3455 ,4272.3 ,4273.1 
56034 ,青海,清水河,基本站,9708,3348 ,4415.4 ,4416.2 
56038 ,四川,石渠,基本站,9806,3259 ,4200.0 ,4201.0 
56043 ,青海,玛沁,基本站,10014,3429,3719.0 ,3719.8 
56045 ,青海,甘德,一般站,9954,3358 ,4050.0 ,4050.8 
56046 ,青海,达日,基准站,9939,3345 ,3967.5 ,3968.3 
56065 ,青海,河南,基本站,10136,3444 ,3500.0 ,3500.8 
56067 ,青海,久治,基准站,10129,3326 ,3628.5 ,3629.3 
56071,甘肃,碌曲,一般站,10230,3436,3190.6 ,3192.2 
56074,甘肃,玛曲,基本站,10205,3400,3471.4 ,3473.0 
56079 ,四川,若尔盖,基本站,10258,3335 ,3441.4 ,3442.6 
56080,甘肃,合作,基准站,10254,3500,2910.0 ,2911.6 
56081,甘肃,临潭,一般站,10321,3442,2810.2 ,2812.0 
56082,甘肃,卓尼,一般站,10330,3435,2592.1 ,2593.8 
56084,甘肃,迭部,一般站,10314,3404,2374.2 ,2375.9 
56091,甘肃,漳县,一般站,10428,3451 ,1883.3 ,1884.7 
56092,甘肃,陇西,一般站,10439,3500 ,1728.2 ,1729.8 
56093,甘肃,岷县,基准站,10401,3426 ,2315.0 ,2316.5 
56094,甘肃,舟曲,一般站,10422,3347,1329.3 ,1331.0 
56095,甘肃,宕昌,一般站,10423,3402,1753.2 ,1754.9 
56096,甘肃,武都,基本站,10455,3324,1079.1 ,1080.7 
56097 ,四川,九寨沟,一般站,10415,3316 ,1440.5 ,1441.7 
56116 ,西藏,丁青,基本站,9536,3125 ,3873.1 ,3874.3 
56125 ,青海,囊谦,基准站,9628,3212 ,3643.7 ,3644.5 
56128 ,西藏,类乌齐,一般站,9636,3113 ,3810.0 ,3811.2 
56137 ,西藏,昌都,基准站,9710,3109 ,3315.0 ,3316.2 
56144 ,四川,德格,基本站,9835,3148 ,3184.0 ,3185.0 
56146 ,四川,甘孜,基准站,10000,3137 ,3393.5 ,3394.4 
56147 ,四川,白玉,一般站,9850,3113 ,3260.0 ,3261.5 
56151 ,青海,班玛,基本站,10045,3256 ,3530.0 ,3530.8 
56152 ,四川,色达,基本站,10020,3217 ,3893.9 ,3895.0 
56158 ,四川,炉霍,一般站,10040,3124 ,3250.0 ,3251.5 
56164 ,四川,壤塘,一般站,10058,3216 ,3292.9 ,3294.1 
56167 ,四川,道孚,基本站,10107,3059 ,2957.2 ,2958.3 
56168 ,四川,金川,一般站,10204,3129 ,2168.9 ,2170.1 
56171 ,四川,阿坝,一般站,10142,3254 ,3275.1 ,3276.3 
56172 ,四川,马尔康,基准站,10214,3154 ,2664.4 ,2665.6 
56173 ,四川,红原,基准站,10233,3248 ,3491.6 ,3492.8 
56178 ,四川,小金,基本站,10221,3100,2438.0 ,2439.2 
56180 ,四川,茂县,一般站,10351,3141 ,1590.1 ,1591.3 
56181 ,四川,崇州,一般站,10342,3041 ,541.7 ,543.2 
56182 ,四川,松潘,基本站,10336,3240 ,2881.3 ,2882.5 
56183 ,四川,汶川,一般站,10337,3130,1370.1 ,1371.3 
56184 ,四川,理县,一般站,10310,3126 ,1896.7 ,1897.9 
56185 ,四川,黑水,一般站,10259,3205 ,2400.1 ,2401.3 
56186 ,四川,绵竹,一般站,10412,3120 ,589.0 ,590.2 
56187 ,四川,温江,基准站,10352,3045 ,547.7 ,548.9 
56188 ,四川,都江堰,基本站,10340,3100 ,698.5 ,699.7 
56189 ,四川,彭州,一般站,10356,3059 ,581.7 ,583.1 
56192,甘肃,文县,一般站,10440,3257,1014.3 ,1015.8 
56197 ,四川,什邡,一般站,10410,3109 ,535.7 ,536.9 
56198 ,四川,德阳 ,一般站,10430,3119 ,525.7 ,526.9 
56199 ,四川,中江,一般站,10441,3102 ,423.5 ,424.7 
56223 ,西藏,洛隆,基本站,9550,3045 ,3640.0 ,3641.2 
56227 ,西藏,波密,基本站,9546,2952 ,2736.0 ,2737.2 
56228 ,西藏,八宿,一般站,9655,3003 ,3260.0 ,3261.0 
56247 ,四川,巴塘,基本站,9906,3000 ,2589.2 ,2590.2 
56251 ,四川,新龙,基本站,10019,3056 ,3000.0 ,3000.9 
56257 ,四川,理塘,基本站,10016,3000 ,3948.9 ,3949.8 
56263 ,四川,丹巴,一般站,10153,3053 ,1949.7 ,1951.2 
56267 ,四川,雅江,一般站,10101,3002 ,2600.9 ,2602.4 
56272 ,四川,郫县,一般站,10353,3049 ,558.5 ,560.0 
56273 ,四川,宝兴,一般站,10249,3023,1022.0 ,1023.2 
56276 ,四川,新津,一般站,10349,3027 ,467.0 ,468.5 
56278 ,四川,天全,一般站,10246,3004 ,755.8,757
56279 ,四川,芦山,一般站,10257,3010 ,744.1 ,745.3 
56280 ,四川,名山,一般站,10307,3005 ,691.3 ,692.4 
56281 ,四川,蒲江,一般站,10330,3011 ,510.8 ,512.0 
56284 ,四川,邛崃,一般站,10326,3027 ,518.5 ,520.0 
56285 ,四川,大邑,一般站,10328,3034 ,544.7 ,546.2 
56286 ,四川,龙泉驿,一般站,10416,3037 ,505.3 ,506.3 
56288 ,四川,双流,一般站,10355,3035 ,494.6 ,496.1 
56289 ,四川,彭山,一般站,10352,3012 ,437.0 ,438.2 
56290 ,四川,新都,一般站,10411,3047 ,514.5 ,516.0 
56296 ,四川,金堂,一般站,10426,3049 ,493.5 ,495.0 
56297 ,四川,仁寿,一般站,10409,3001 ,436.5 ,438.0 
56298 ,四川,资阳,一般站,10436,3008 ,417.0 ,418.5 
56312 ,西藏,林芝,基准站,9420,2940 ,2991.8 ,2993.0 
56317 ,西藏,米林,一般站,9413,2913 ,2950.0 ,2951.2 
56331 ,西藏,左贡,基本站,9750,2940 ,3780.0 ,3781.2 
56357 ,四川,稻城,基准站,10018,2903 ,3727.7 ,3728.6 
56371 ,四川,泸定,一般站,10213,2953 ,1403.2 ,1404.7 
56373 ,四川,荥经,一般站,10251,2947 ,797.5 ,799.0 
56374 ,四川,康定,基准站,10158,3003 ,2615.7 ,2616.7 
56376 ,四川,汉源,一般站,10238 ,2920 ,1098.0 ,1098.9
56378 ,四川,石棉,一般站,10221,2914 ,890.7 ,891.9 
56380 ,四川,洪雅,一般站,10321,2953 ,571.2 ,572.2 
56381 ,四川,丹棱,一般站,10330,3004 ,630.2 ,631.2 
56382 ,四川,夹江,一般站,10333,2945 ,475.0 ,476.2 
56383 ,四川,青神,一般站,10352,2950 ,455.2 ,456.2 
56384 ,四川,峨眉,一般站,10329,2936 ,446.7 ,447.9 
56385 ,四川,峨眉山,基准站,10320,2931 ,3069.9 ,3070.8 
56386 ,四川,乐山,基准站,10345,2934 ,424.2 ,425.2 
56387 ,四川,峨边,一般站,10316,2914,642.2 ,643.4 
56389 ,四川,犍为,一般站,10357,2912 ,387.6 ,388.8 
56390 ,四川,井研,一般站,10404,2940 ,404.4 ,405.4 
56391 ,四川,眉山,一般站,10349,3005 ,415.4 ,416.9 
56393 ,四川,资中,一般站,10451,2946 ,369.4 ,370.4 
56394 ,四川,荣县,一般站,10426,2927 ,384.1 ,385.3 
56395 ,四川,威远,一般站,10440,2931 ,351.1 ,352.3 
56396 ,四川,自贡,一般站,10446,2921 ,352.6 ,353.8 
56399 ,四川,富顺,一般站,10459,2911 ,306.2 ,307.4 
56434 ,西藏,察隅,基准站,9728,2840 ,2366.0 ,2367.2 
56441 ,四川,得荣,一般站,9917,2843 ,2422.9 ,2424.4 
56443 ,四川,乡城,一般站,9948,2856 ,2842.0 ,2843.3 
56444 ,云南,德钦,基本站,9855,2829 ,3319.0 ,3320.0 
56459 ,四川,木里,基本站,10116,2756 ,2426.5 ,2427.5 
56462 ,四川,九龙,基本站,10130,2900 ,2925.0 ,2926.0 
56473 ,四川,甘洛,一般站,10246,2857 ,1060.3 ,1061.5 
56474 ,四川,冕宁,一般站,10210,2833 ,1774.0 ,1775.2 
56475 ,四川,越西,基准站,10231,2839 ,1659.5 ,1660.1 
56478 ,四川,喜德,一般站,10226,2818 ,1818.1 ,1819.3 
56479 ,四川,昭觉,基本站,10251,2800 ,2132.4 ,2133.7 
56480 ,四川,马边,一般站,10332,2849 ,564.1 ,565.2 
56483 ,云南,绥江,一般站,10357,2835,496.6 ,497.5 
56485 ,四川,雷波,基本站,10335,2816 ,1255.8 ,1256.8 
56487 ,四川,美姑,一般站,10308,2820 ,1943.9 ,1945.1 
56489 ,云南,永善,一般站,10337,2814 ,975.6 ,977.0 
56490 ,四川,沐川,一般站,10354,2857 ,424.0 ,425.0 
56491 ,四川,宜宾县,一般站,10434,2842 ,287.0 ,288.5 
56492 ,四川,宜宾,基本站,10436,2848 ,340.8 ,342.3 
56493 ,四川,南溪,一般站,10458,2851 ,292.8 ,294.3 
56494 ,四川,屏山,一般站,10420,2850 ,386.5 ,387.5 
56496 ,四川,兴文,一般站,10514,2818 ,399.4 ,400.3 
56497 ,云南,盐津,一般站,10414,2806 ,448.8 ,450.5 
56498 ,四川,筠连,一般站,10430,2809 ,549.0 ,550.0 
56499 ,四川,珙县,一般站,10447,2823 ,368.2 ,369.7 
56533 ,云南,贡山,基本站,9840,2745 ,1583.3 ,1587.7 
56543 ,云南,香格里拉,基本站,9945,2751 ,3341.5 ,3342.5 
56548 ,云南,维西,基本站,9917,2710 ,2326.1 ,2327.2 
56565 ,四川,盐源,基本站,10129,2726 ,2516.8 ,2517.4 
56567 ,云南,宁蒗,一般站,10051,2715 ,2367.2 ,2368.7 
56569 ,四川,德昌,一般站,10211,2725 ,1380.0 ,1381.2 
56571 ,四川,西昌,基本站,10216,2754 ,1590.9 ,1592.1 
56575 ,四川,普格,一般站,10233,2722 ,1530.7 ,1532.2 
56578 ,四川,宁南,一般站,10245,2704 ,993.6 ,994.8 
56580 ,四川,布拖,一般站,10248,2743 ,2460.0 ,2461.5 
56582 ,云南,大关,一般站,10354,2745 ,1176.2 ,1177.0 
56584 ,四川,金阳,一般站,10315,2742 ,1093.0 ,1093.7 
56585 ,云南,鲁甸,一般站,10333,2712 ,1952.2 ,1953.1 
56586 ,云南,昭通,基本站,10343,2721 ,1949.5 ,1950.7 
56592 ,四川,高县,一般站,10431,2826 ,359.7 ,360.6 
56593 ,四川,长宁,一般站,10455,2835 ,279.1 ,280.0 
56594 ,云南,彝良,一般站,10404,2738 ,1035.0 ,1036.5 
56595 ,云南,镇雄,一般站,10452,2725,1645.2 ,1646.4 
56596 ,云南,威信,一般站,10503,2751 ,1177.2 ,1176.5 
56598 ,贵州,赫章,一般站,10444,2708 ,1535.1 ,1536.3 
56641 ,云南,福贡,一般站,9852,2654 ,1189.7 ,1191.5 
56643 ,云南,六库,基本站,9851,2552 ,949.9 ,950.6 
56645 ,云南,兰坪,一般站,9925,2625 ,2344.9 ,2345.9 
56646 ,云南,剑川,一般站,9955,2632 ,2191.4 ,2192.9 
56649 ,云南,洱源,一般站,9958,2606,2059.9 ,2060.9 
56651 ,云南,丽江,基准站,10013,2651,2380.9 ,2382.1 
56652 ,云南,永胜,一般站,10045,2641 ,2130.5 ,2131.0 
56654 ,云南,鹤庆,一般站,10011,2635 ,2195.4 ,2196.9 
56664 ,云南,华坪,基本站,10116,2638 ,1230.8 ,1231.9 
56665,四川,盐边,一般站,10151 ,2641 ,1140.3 ,1141.5 
56666,四川,攀枝花,基本站,10143 ,2634 ,1224.8 ,1225.9 
56669 ,云南,永仁,一般站,10140,2602 ,1589.4 ,1590.9 
56670,四川,米易,一般站,10207 ,2655 ,1136.9 ,1138.3 
56671 ,四川,会理,基准站,10215,2639 ,1787.3 ,1788.6 
56673 ,云南,巧家,一般站,10255,2655 ,893.9 ,895.4 
56674,四川,仁和,一般站,10144 ,2630 ,1108.0 ,1109.5 
56675 ,四川,会东,一般站,10235,2639 ,1694.5 ,1695.7 
56684,云南,会泽,基本站,10315,2624,2188.3 ,2189.3 
56688 ,云南,东川,一般站,10310,2606 ,1254.1 ,1253.4 
56691 ,贵州,威宁,基准站,10417,2652 ,2237.5 ,2238.6 
56697 ,云南,宣威,一般站,10405,2613 ,1984.2 ,1985.7 
56739,云南,腾冲,基准站,9830,2459,1695.9 ,1696.9 
56742 ,云南,云龙,一般站,9922,2553 ,1723.9 ,1725.4 
56745 ,云南,漾濞,一般站,9957,2541 ,1626.1 ,1627.2 
56746 ,云南,永平,一般站,9931,2528 ,1616.7 ,1618.2 
56748 ,云南,保山,基本站,9911,2507 ,1652.2 ,1653.2 
56751 ,云南,大理,基准站,10011,2542 ,1977.7 ,1978.9 
56752 ,云南,宾川,一般站,10034,2550 ,1438.7 ,1440.2 
56755 ,云南,弥渡,一般站,10024,2523 ,1711.7 ,1712.7 
56757 ,云南,巍山,一般站,10017,2516 ,1742.1 ,1743.6 
56761 ,云南,大姚,一般站,10119,2543 ,1878.1 ,1879.3 
56764 ,云南,姚安,一般站,10114,2532 ,1873.5 ,1874.9 
56766 ,云南,牟定,一般站,10131,2518 ,1822.0 ,1823.4 
56767 ,云南,南华,一般站,10116,2512 ,1905.4 ,1906.9 
56772 ,云南,富民,一般站,10230,2514 ,1692.7 ,1694.4 
56774 ,云南,武定,一般站,10215,2519 ,1800.2 ,1801.7 
56777 ,云南,禄丰,一般站,10206,2507 ,1671.4 ,1672.6 
56778 ,云南,昆明,基准站,10239,2500 ,1888.1 ,1889.1 
56782 ,云南,马龙,一般站,10333,2525 ,2067.1 ,2068.6 
56783 ,云南,曲靖,一般站,10348,2530 ,1906.2 ,1907.7 
56785 ,云南,嵩明,一般站,10305,2521 ,1915.7 ,1916.7 
56790 ,云南,富源,一般站,10415,2541,1925.8 ,1927.0 
56792 ,贵州,普安,基本站,10458,2547 ,1649.4 ,1650.4 
56793 ,贵州,盘县,基本站,10428,2543,1800.0 ,1800.9 
56835 ,云南,陇川,一般站,9747,2410 ,959.1 ,960.5 
56836 ,云南,盈江,一般站,9757,2442 ,826.7 ,828.1 
56839 ,云南,镇康,一般站,9849,2346 ,995.3 ,994.5 
56840 ,云南,粱河,一般站,9818,2449 ,1012.9 ,1013.7 
56841 ,云南,龙陵,一般站,9841,2436 ,1528.0 ,1527.6 
56842 ,云南,施甸,一般站,9911,2444 ,1471.2 ,1473.4 
56843 ,云南,昌宁,一般站,9937,2450 ,1650.6 ,1650.2 
56844 ,云南,芒市,一般站,9835,2426 ,913.8 ,915.0 
56846 ,云南,凤庆,一般站,9956,2435 ,1569.0 ,1569.8 
56849 ,云南,永德,一般站,9914,2402 ,1606.2 ,1607.2 
56851 ,云南,南涧,一般站,10031,2502,1377.2 ,1378.3 
56854 ,云南,云县,一般站,10008,2427 ,1108.6 ,1108.1 
56856 ,云南,景东,基本站,10052,2428 ,1162.3 ,1163.2 
56862 ,云南,双柏,一般站,10136,2441 ,1968.1 ,1969.3 
56863 ,云南,安宁,一般站,10230,2455 ,1893.4 ,1894.6 
56867 ,云南,镇沅,一般站,10107,2359 ,1105.4 ,1106.9 
56869 ,云南,新平,一般站,10158,2404 ,1497.5 ,1499.0 
56870,云南,易门,一般站,10211,2439,1600.9 ,1601.9 
56871 ,云南,晋宁,一般站,10234,2441 ,1979.2 ,1980.7 
56873 ,云南,澄江,一般站,10255,2441 ,1796.3 ,1797.4 
56875 ,云南,玉溪,基本站,10233,2420 ,1716.9 ,1718.0 
56876 ,云南,江川,一般站,10246,2417 ,1731.1 ,1732.5 
56878 ,云南,通海,一般站,10245,2408 ,1801.8 ,1802.9 
56879 ,云南,华宁,一般站,10255,2411 ,1702.6 ,1703.7 
56880 ,云南,宜良,一般站,10310,2455 ,1532.5 ,1532.9 
56881 ,云南,石林,一般站,10316,2445,1695.8 ,1697.3 
56882 ,云南,呈贡,一般站,10249,2454 ,1976.6 ,1977.8 
56883 ,云南,师宗,一般站,10359,2449 ,1900.9 ,1902.4 
56885 ,云南,弥勒,一般站,10327,2424 ,1415.5 ,1417.0 
56886 ,云南,泸西,基本站,10346,2432 ,1704.3 ,1705.5 
56889 ,云南,丘北,一般站,10410,2403 ,1518.7 ,1519.7 
56891 ,云南,罗平,一般站,10419,2459 ,1482.7 ,1484.2 
56898 ,云南,峨山,一般站,10224,2411 ,1600.0 ,1601.2 
56944 ,云南,沧源,一般站,9916,2309 ,1278.3 ,1280.7 
56946 ,云南,耿马,基本站,9924,2333 ,1104.9 ,1104.8 
56948 ,云南,西盟,一般站,9936,2238 ,1155.0 ,1156.4 
56949 ,云南,孟连,一般站,9936,2219 ,1079.9 ,1081.3 
56950 ,云南,双江,基准站,9948,2328 ,1044.1 ,1044.0 
56951 ,云南,临沧,基本站,10005,2353 ,1502.4 ,1502.6 
56952 ,云南,景谷,一般站,10043,2330 ,979.2 ,980.7 
56954 ,云南,澜沧,基本站,9956,2234 ,1054.8 ,1055.7 
56958 ,云南,勐海,一般站,10028,2158 ,1222.8 ,1224.0 
56962 ,云南,墨江,一般站,10140,2325,1314.6 ,1316.0 
56964 ,云南,思茅,基本站,10058,2247 ,1302.1 ,1303.3 
56966 ,云南,元江,基准站,10159,2336 ,400.9 ,402.0 
56969 ,云南,勐腊,基准站,10134,2128,633.4 ,634.4 
56970 ,云南,石屏,一般站,10229,2342 ,1419.3 ,1420.8 
56975 ,云南,红河,一般站,10226,2322 ,974.5 ,976.0 
56976 ,云南,元阳,一般站,10251,2313 ,312.3 ,313.5 
56977 ,云南,江城,基本站,10151,2235 ,1120.5 ,1121.4 
56978 ,云南,绿春,一般站,10225,2300 ,1642.8 ,1644.3 
56982 ,云南,开远,一般站,10317,2342 ,1117.0 ,1118.5 
56984 ,云南,个旧,一般站,10309,2323 ,1720.5 ,1717.7 
56987 ,云南,金平,一般站,10314,2247 ,1260.0 ,1261.5 
56991 ,云南,砚山,基本站,10420,2337 ,1561.1 ,1562.1 
56992 ,云南,西畴,一般站,10442,2327 ,1507.5 ,1509.1 
56994 ,云南,文山,一般站,10417,2320 ,1293.5 ,1294.6 
56995 ,云南,马关,一般站,10425,2302 ,1332.9 ,1334.0 
57001,甘肃,甘谷,一般站,10520,3445,1271.9 ,1273.6 
57002,甘肃,秦安,一般站,10539,3451,1216.1 ,1217.8 
57003 ,陕西,陇县,基本站,10650,3454 ,924.2 ,925.2 
57004,甘肃,武山,一般站,10453,3444,1495.4 ,1497.1 
57006,甘肃,天水,一般站,10545,3434,1149.8 ,1151.3 
57007,甘肃,礼县,一般站,10511,3411,1404.6 ,1406.2 
57008,甘肃,西和,一般站,10518,3402,1579.0 ,1580.7 
57011,甘肃,清水,一般站,10609,3445,1378.2 ,1379.9 
57012,甘肃,张家川,一般站,10612,3459,1664.5 ,1666.1 
57014,甘肃,麦积,基本站,10552,3434,1085.2 ,1086.7 
57016 ,陕西,宝鸡,一般站,10708,3421 ,612.4 ,613.6 
